Repository,Tag,Last Pulled,Last Updated,Status,Reason
ccga5tw,pr-557,2025-06-25T14:38:02.686542078Z,2025-06-25T14:37:12.097854Z,PRESERVED,preserved all for prefix 'pr-'
ccga5tw,sha-d2e42fc,2025-06-25T14:32:26.451107252Z,2025-06-25T14:31:58.333252Z,TO DELETE,not pulled since 2025-06-25T14:39:22.429059
ccga5tw,develop,2025-06-25T14:32:26.451107252Z,2025-06-25T14:31:56.583788Z,PRESERVED,preserved all for prefix 'develop'
ccga5tw,pr-559,2025-06-25T14:32:43.499983571Z,2025-06-25T14:31:23.823502Z,PRESERVED,preserved all for prefix 'pr-'
ccga5tw,pr-558,2025-06-25T14:31:10.23784465Z,2025-06-25T14:30:00.720511Z,PRESERVED,preserved all for prefix 'pr-'
ccga5tw,pr-548,2025-06-25T14:10:44.406096796Z,2025-06-25T14:09:45.65585Z,PRESERVED,preserved all for prefix 'pr-'
ccga5tw,sha-a438da3,2025-06-25T14:31:56.12241257Z,2025-06-25T12:32:14.098378Z,TO DELETE,not pulled since 2025-06-25T14:39:22.429059
ccga5tw,pr-550,2025-06-25T09:44:31.513206582Z,2025-06-25T09:40:59.965534Z,PRESERVED,preserved all for prefix 'pr-'
ccga5tw,pr-552,2025-06-24T23:50:31.201425762Z,2025-06-24T23:50:21.576149Z,PRESERVED,preserved all for prefix 'pr-'
ccga5tw,main,2025-06-24T09:14:00.036397103Z,2025-06-24T09:13:31.50823Z,PRESERVED,preserved all for prefix 'main'
ccga5tw,latest,2025-05-26T12:05:54.830599224Z,2025-05-26T12:05:55.319936Z,PRESERVED,preserved all for prefix 'latest'
ccga5tw,v1.2.1,2025-05-26T12:05:54.830599224Z,2025-05-26T12:05:53.25009Z,PRESERVED,preserved all for prefix 'v'
ccga5tw,v1.3.0,2025-05-26T12:05:54.958429137Z,2025-05-26T12:05:13.809493Z,PRESERVED,preserved all for prefix 'v'
ccga5tw,v1.2.0,2025-05-26T12:05:14.714005943Z,2025-05-07T16:47:43.768047Z,PRESERVED,preserved all for prefix 'v'
ccga5tw,v1.1.0,2025-05-07T16:47:44.24508076Z,2025-05-07T16:47:42.235701Z,PRESERVED,preserved all for prefix 'v'
ccga5tw,v0.1.1,2025-05-07T16:47:44.71014252Z,2025-05-07T13:00:42.708411Z,PRESERVED,preserved all for prefix 'v'
ccga5tw,v1.0.1,2025-05-07T13:00:43.767580577Z,2025-05-07T13:00:41.22397Z,PRESERVED,preserved all for prefix 'v'
